roles,companies,locations,experience,skills,Dates,PresentDate,salary
Store Development,Starbucks,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-2 Yrs,Store DevelopmentStoresDevelopment,30+ Days Ago,24-11-2024,Not disclosed
Supply Chain & QA Professional,Starbucks,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-3 Yrs,ProcurementSupply chain managementERPData analysisManager Quality AssuranceQA ProfessionalInventory controlManager Quality Control,30+ Days Ago,24-11-2024,Not disclosed
Human Resources and L&D,Starbucks,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-2 Yrs,TrainingE-learningEmployee developmentPerformance managementHR policiesSchedulingHRManagement,30+ Days Ago,24-11-2024,Not disclosed
Urgent Hiring For HR Officer - Bangalore location,DMart,Bengaluru,2-5 Yrs,Joining FormalitiesStatutory ComplianceAttendance ManagementOnboardingPayroll Managementexit interviewsStatutory LawsLeave Management,6 Days Ago,24-11-2024,2-3.5 Lacs PA
Business Development Executive - Bangalore,ITC,Bengaluru,2-7 Yrs,Alternate Channel SalesEcommSalesMTModern TradeGeneral TradeGTDairy Products,6 Days Ago,24-11-2024,4-8 Lacs PA
Slimming Head,Vlcc,"Pune, Surat, Mumbai (All Areas)",5-10 Yrs,Diet CounsellingslimmingTarget AchievementMenu PlanningNutritionist ActivitiesDietitian ActivitiesRevenue GenerationTarget Marketing,11 Days Ago,24-11-2024,3.5-5 Lacs PA
Restaurant Manager,Chai Point,Bengaluru(HSR Layout +7),3-8 Yrs,Restaurant ManagementQSRStore OperationsCustomer ExperienceHotel ManagementInventory ManagementPeople ManagementLeadership Skills,3 Days Ago,24-11-2024,4-5.5 Lacs PA
Sr.BDO/BDO (Horeca) - Bangalore HQ,Dabur,Bengaluru,4-9 Yrs,Food ServicesHorecaHoreca SalesInstitutionalKey AccountsInstitutional salesB2B SalesInstitutional Selling,1 Day Ago,24-11-2024,6-9.5 Lacs PA
Supply Chain & QA,Starbucks,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-3 Yrs,ProcurementSupply chain managementERPData analysisManager Quality AssuranceInventory controlMarket researchManager Quality Control,30+ Days Ago,24-11-2024,Not disclosed
Beauty head,Vlcc,"Thane, Pune, Mumbai (All Areas)",1-3 Yrs,ConsultingCosmetologyBdsInjectablesBdBeauty,12 Days Ago,24-11-2024,Not disclosed
Urgent Requirement @Physiotherapist,Vlcc,"Mumbai, Navi Mumbai, Pune",0-4 Yrs,PhysiotherapistMPTPhysical TherapyPhysiotherapyBptBachelor In PhysiotherapyTherapyRequirements,30+ Days Ago,24-11-2024,2.25-3.25 Lacs PA
Senior Associate-Distribution Planning,Puma,Bengaluru,2-5 Yrs,Inventory PlanningDistribution PlanningStock ReplenishmentStockDistributionPlanningSeniorInventory,6 Days Ago,24-11-2024,Not disclosed
Area Sales Manager-IIM Freshers-MNC Group - Beauty/Cosmetic Industry,People Alliance Workforce,"Indore, Pune, Mumbai (All Areas)",0-1 Yrs,Area Sales ManagerPersonal CarePromotionsHair CareSkin CareDistributor SalesNew Business DevelopmentFMCG,1 Day Ago,24-11-2024,Not disclosed
Online Merchandiser,DECATHLON Sports,Bengaluru,5-7 Yrs,Analytical skillsOperations managementData analysisPerformance managementCommerceCustomer serviceCustomer experienceMerchandising,6 Days Ago,24-11-2024,Not disclosed
Key Accounts Manager,Ferns N Petals,Gurugram,2-7 Yrs,Corporate SalesKey Account ManagementInstitutional SalesB2B SalesEnterprise SalesKey Account SalesAccountingEnterprise,1 Day Ago,24-11-2024,Not disclosed
Internal Auditor - Chartered Accountant,DECATHLON Sports,Bengaluru,6-8 Yrs,Internal process auditRetailManager Internal AuditInternal AuditorAnalyticalAgileRisk managementAuditing,6 Days Ago,24-11-2024,Not disclosed
Center Head,Vlcc,"Nashik(Mumbai Naka ), Pune(Pimple Saudagar +1), Mumbai (All Areas)",3-8 Yrs,Target AchievementCenter ManagementSales PlanningTeam ManagementTeam HandlingTeam LeadingSales ManagementLeadership,11 Days Ago,24-11-2024,4-8 Lacs PA
ORRA Hiring For Store Manager & Assistant Store manager,Orra Fine Jewellery,"Hyderabad(Kompally +1), Bengaluru(Koramangala +2), Mumbai (All Areas)(Seawoods +2)",7-10 Yrs,KPIJewellery salesShowroom SalesPeople ManagementStore ManagementJewelleryStore OperationsRetail Operations,16 Days Ago,24-11-2024,6-10 Lacs PA
Assistant Restaurant Manager,DMart,"Hyderabad, Bengaluru, Mumbai (All Areas)",3-8 Yrs,Team HandlingRestaurant ManagementShift PlanningManpower PlanningSales And Operations PlanningManpower ManagementRosteringIndenting,2 Days Ago,24-11-2024,Not disclosed
Dietician (Female),Vlcc,"Nashik(Mumbai Naka ), Pune(Hinjewadi +2), Mumbai (All Areas)(Seawoods +5)",0-2 Yrs,Target AchievementDiet CounsellingDietNutritionMenu PlanningWellnessNutritionist ActivitiesDietitian Activities,19 Days Ago,24-11-2024,2-3 Lacs PA
Retail Sales Officer ( Off Role),Titan Company,Pune,2-6 Yrs,Salesleather salesretail salesCustomer RelationshipUpsellingbags salesCross sellinClient Relationship,2 Days Ago,24-11-2024,Not disclosed
"Technical Officer - Cheese - Manchar, Pune",Parag Milk Foods,Pune(Manchar),0-5 Yrs,ManufacturingFood And BeverageQuality AssuranceAssuranceTechnicalQualityBeverage,2 Days Ago,24-11-2024,2-4 Lacs PA
Technical Officer,Parag Milk Foods,Pune(Manchar),0-5 Yrs,ManufacturingFood And BeverageQuality AssuranceQualityTechnicalBeverageAssurance,2 Days Ago,24-11-2024,2-4 Lacs PA
Physiotherapist,Vlcc,"Nashik(Mumbai Naka ), Pune(Hinjewadi +2), Mumbai (All Areas)(Kharghar +4)",0-2 Yrs,PhysiotherapyMPTPhysical TherapyBptPhysicalTherapy,19 Days Ago,24-11-2024,2-3 Lacs PA
Corporate Sales Manager,Treebo Hotels,"Hybrid - Bengaluru, Mumbai (All Areas)",2-7 Yrs,Client OnboardingField SalesClient AcquisitionCorporate Sales ManagementClientAcquisitionSales managementSales,2 Days Ago,24-11-2024,6-7.5 Lacs PA
Client Relationship Management Maintenance,Hsbc,Pune,1-5 Yrs,Relationship managementFinancial analysisAnti money launderingBusiness strategyRisk managementOperationsPrincipalFinancial services,2 Days Ago,24-11-2024,Not disclosed
Spa Therapist,"Four Seasons Hotels, Inc",Mumbai,5 Yrs,Power houseSANRetailHotel managementBillingDatabaseManagementJapanese,2 Days Ago,24-11-2024,Not disclosed
Horeca & Distribution Sales,BVG India,Pune(Hinjewadi),4-9 Yrs,Distributor SalesInstitutional SalesTrade MarketingFMCG SalesHoreca SalesTrade SalesGTSModern Trade,Just Now,24-11-2024,Not disclosed
Property Acquisition,DMart,"Pune, Bangalore Rural, Ahmedabad",10-15 Yrs,Property AcquisitionReal EstateLand AcquisitionProperty ManagementSite AcquisitionAcquisitionManagementSite,25 Days Ago,24-11-2024,Not disclosed
Trichologist,RICHFEEL HEALTH &amp; BEAUTY PVT. LTD.,"Mumbai, Patna, New Delhi, Bengaluru",2-7 Yrs,SalesArea salesUPSCenter HeadCounsellingCRMTestingCenter,30+ Days Ago,24-11-2024,Not disclosed
Customer Relationship Executive,RICHFEEL HEALTH &amp; BEAUTY PVT. LTD.,"Mumbai, Patna, New Delhi, Bengaluru",2-7 Yrs,OutboundCustomer Relation ExecutiveCustomer complaintsCenter HeadTestingComplaintsSoftware testingCustomer relationship,30+ Days Ago,24-11-2024,Not disclosed
Monitor sales executive performance,Flight Raja Travels Private Limited,"Guwahati, Visakhapatnam, Hyderabad, Chennai, Thiruvananthapuram, Kochi, Kolkata, Mumbai, Delhi, Thrissur, Kozhikode, Ahmedabad, Bengaluru, Jammu",3-8 Yrs,NegotiationProduct trainingSenior ExecutiveBusiness growthServiceSales ExecutiveB2B SalesMarket,30+ Days Ago,24-11-2024,Not disclosed
Assistant Retail Manager / Area Manager / Cluster Manager,Hidesign,Mumbai,3-7 Yrs,SalesRetail ManagementTeam managementVisual MerchandisingStock AuditingStore operationsArea ManagementVisual,2 Days Ago,24-11-2024,Not disclosed
Meeting & Events - Sales Manager,FCM Travel,"Bengaluru, Delhi / NCR, Mumbai (All Areas)",4-9 Yrs,Business Development ManagementCorporate Business DevelopmentMICE SalesCorporate SalesSalesCorporateDevelopmentSales management,6 Days Ago,24-11-2024,Not disclosed
Hair Transplant Surgeon,RICHFEEL HEALTH &amp; BEAUTY PVT. LTD.,"Mumbai, Patna, New Delhi, Bengaluru",2-7 Yrs,cosmetologySalesDermatologyConsultingDNBCenter HeadSurgeonSales consulting,30+ Days Ago,24-11-2024,Not disclosed
Technology Engineering Lead/ Lead Consultant Specialist,Hsbc,Pune,6-10 Yrs,AutomationBusiness transformationCodingagile project managementAnalyticalManager TechnologyStakeholder managementContinuous improvement,2 Days Ago,24-11-2024,Not disclosed
