roles,companies,locations,experience,skills,Dates,PresentDate,salary
ERP Fin Lead,Hexaware Technologies,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",5-6 Yrs,Order managementService contractsERPTechnical designAgile developmentShell scriptingPLSQLSCM,1 Day Ago,23-11-2024,Not disclosed
ERP Fin Lead,Hexaware Technologies,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",8 Yrs,ERPXMLAnalyticalDebuggingOracle formsWorkflowPLSQLOracle apps technical,1 Day Ago,23-11-2024,Not disclosed
ERP Fin Lead,Hexaware Technologies,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",8 Yrs,kuberneteserppythonoraclevmwaremicrosoft azurebusiness analysiscloud platform,1 Day Ago,23-11-2024,Not disclosed
ERP Fin Technology Consultant,Hexaware Technologies,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",4-9 Yrs,bi publishererporacleorder managementjsporacle formsinstall baseplsql,1 Day Ago,23-11-2024,Not disclosed
ERP Fin Business Analyst,Hexaware Technologies,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-5 Yrs,OutboundFinance ManagerERPOracle AppsProduction supportXMLWorkflowPLSQL,1 Day Ago,23-11-2024,Not disclosed
CLOUD AMAZE - DB Architect,Hexaware Technologies,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",12-14 Yrs,servercloud migrationdata migrationdockersql azuregcpdevopsssrs,1 Day Ago,23-11-2024,Not disclosed
Senior Principal - Architecture,Ltimindtree,"Kolkata, Mumbai, Hyderabad, Pune, Chennai, Bengaluru",17-20 Yrs,ArchitectAutomationHibernateLinuxVPNAnalyticalData processingBusiness strategy,1 Day Ago,23-11-2024,Not disclosed
Project Manager - Consumer & Retail,Hexaware Technologies,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",7-11 Yrs,TPMRetailProject implementationProgram managementAccountingSchedulingProject planningRisk management,30+ Days Ago,23-11-2024,Not disclosed
Application Support - AppOps - Associate,Hexaware Technologies,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-1 Yrs,Application supportUsageSupport AnalystIncident managementMonitoringApplicationManagementIncident,2 Days Ago,23-11-2024,Not disclosed
Business System Analyst / Technical Product Owner,Citiustech,"Hybrid - Pune, Bangalore Rural, Mumbai (All Areas)",6-10 Yrs,Business AnalystSQLData WarehousingBusiness AnalysisTechnical analysisWarehouseBusiness systemAnalysis,29 Days Ago,23-11-2024,Not disclosed
Java Microservice Developer,Citiustech,"Hybrid - Pune, Bangalore Rural, Mumbai (All Areas)",5-9 Yrs,JavaSpring BootMicroservicesAWSAngularBootstrapBootSpring,29 Days Ago,23-11-2024,Not disclosed
